pr;XML;Concurrency;HTTP;Memory;Network;CommandLine;OpenOffice Documents;Utils;Dependency;Throws;Logging;Latex;Data Structure;Test;JDK;Runtime;IO;Annotation ;UI;Security;Database;User Preferences;Data;Monitoring;Text Utility;Title;Body
35;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;solve the bug  1248 key bindings not modified;after checking the bug  1248 key bindings not modified   it was identified que the creation of the hashmap list  defkeybinds  that sets the standard keyboard shortcuts  the feature  open folder  was not included in the  definedefaultkeybindings ( )  method in  jabrefpreferences  class . in the creation of the menu item in the  jabrefframe  class for the item  open folder   it was not possible to recover the value of the item in the list  defkeybinds   occurring error  nullpointerexception  in the  string makeescape (string s)  method in  jabrefpreferences  class  which shouldnt return the value of  string  to fill out the menu item. when the  user  tried to change and save the list  the error  nullpointerexception  not allow the execution of the procedure. to solve the bug   was included in the verification of the presence of null in  keybinds  list (copy of  defkeybinds )  the value  not associated  being passed to the  string  return. the warning that menu feature is created in the  jabrefframe  class without associated keyboard shortcut  was moved to the method mentioned before  as was duplicated.
43;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;update to ui: remove some borders;i tried to remove some  clutter  in the ui by removing the gridlines and a few borders. before: ![before]( after: ![after](https://cloud.ent.com/assets/5037600/7570438/936bd99c-f810-11e4-909e-7c0f729541d8.jpg)
44;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;add entry under the  view  menu to hide the toolbar;in addition  i would suggest to hide the toolbar by default.
45;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;added the option to change the table row height padding.;previously  the padding added to the row height for the main table was hardcoded. the padding value can now be modified by the user through the preferences dialog. the old hardcoded value is used as the default value for the new preference.
46;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;add option to hide/show gridlines in the main table;cleaned-up version of older pull request 43
47;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;added the ability to reorder the panels in the side pane.;side pane panels now feature an up arrow button and a down arrow button immediately to the left of the close button. these buttons allow panes to be swapped with the pane above or below them  respectively.  whenever the panes are reordered  the current position of each visible pane is recorded in the application preferences  so the user s custom ordering can be preserved when jabref is next run.
48;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;add the option to save selected entries as plain bibtex.;adds a new menu option called  save selected as plain bibtex  .  this option behaves the same way as the existing  save selected as ...  option  except that the jabref metadata and signature comment are not written to the resulting output file.
49;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;minor ui fix: add  save selected as plain bibtex  to the list of open database-only actions.;the  save selected as plain bibtex  menu option is now correctly enabled and disabled based on whether or not a database is currently open.  i haven t included a changelog entry  since this commit effectively just corrects a minor oversight on my behalf when adding this menu entry in [a previous pull request](  but i m happy to add one if deemed necessary.
55;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;mac bundle and integration for java 7;these changes creates a new compilation target for jabref  in order to make a mac application bundle which can work with the newer oracle jvm for mac (versions 7 and 8)  and change the code of the wrapper to integrate the apple events with the non-deprecated api in com.apple.eawt.  main changes are: - create a new target based on oracle s appbundler to create a bundle compatible with newer jvms. (not compatible with apple s jvm). - move the older target to jabref-legacy.app. - remove the old deprecated wrapper osxadapter  which does not work with oracle s jvm. - create new wrapper based on com.apple.eawt (compatible with both jvms). - improve the quit behaviour. - add support for the fullscreen feature.  the code changes are compatible with both oracle s jvms and apple legacy one  but the legacy bundle is currently broken as the code requires java 1.7+. tested with apple s jvm (1.6.0_65) and oracle s jvm (1.8.0_45).
56;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;fix double-click opening of files on mac;moving the registration of apple events ensures that double-clicking on a file to open it works even if jabref is not yet running.
65;1;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;1;0;replace usages of preferences by string through constants;i checked all the usage of strings for getting or setting preferences and replaced them by a the usage of a constant  if one existed. this gives some more static checking and consistency throughout the project. changes are limited to  src/main/java .   again this changes nothing functionwise  but only improves code quality.
66;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;fixed incompatibility with inspire output page;due to a change in the html output of the inspire search  jabref was no more able to distinguish the interesting output from the rest of the page. it was due to a missing newline character.
67;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;deprecated url;
74;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;refactor globals;this pull request reduces the infamous globals class to one third of its size. this is achieved by extracting every variable or method that is only used once to the position of its usage. in the case of char maps several map classes have been extracted.
75;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;code style;some minor code style cleanups.
77;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;code style;more minor code style cleanups.
80;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;yet another code style iteration;
93;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;logic improvements (java 1.7+);this pull request features various improvements of the classes in the logic package with the aim to transition beyond java 1.6 and improve quality. in particular: - updates license headers with current date - syntax optimizations: java 1.7 use of generics (diamond operator) - format code according to java conventions (c-style curly brackets  i am looking at you) - improves exception handling with logging - replace usages of exception with more precise exceptions - improves variable names - removes commented-out code  unused private methods (unused public methods/constructors are not eliminated) - use try-with-resources if possible - delete stale comments - replace stringbuffer with stringbuilder - remove history information from javadoc  (i am aware that i could push this directly  since i am now a contributor. as this started out as a pull request  i want to finish it as such. future cotributions will be made directly to jabref/master)
96;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0; update each file to have a license header;each java file now does have a license header  except the automatically generated ones.  gradle now enforces that every .java file has a license header during the  check  task.  with  gradlew licenseformat  one can generate the headers on new files automatically.
100;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;move and refactor entryeditor;moves the classes related to the entryeditor into a separate gui package and performs a few refactorings and quality improvements on the way.
101;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;full text crawlers;**this pr enables automatic pdf fulltext downloads.**  current catalogs:   - acs - arxiv - springer - sciencedirect (elsevier) - google scholar  questions:  - do we want to include more crawlers? if yes  which? - action was in the  tools  menu. imho it should be either auto downloaded or included with the  download or  auto  button in the detailed entry view.  todo: -  make it nonblocking and keep the progress bar! -  add an option to delete the local file if a wrong file was downloaded -  tests on travis & circleci are blocked by google by  403 forbidden  (bot detection)
105;0;1;1;0;1;0;1;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;move jabrefframe and basepanel to the gui package;this pull request moves the two central gui classes   jabrefframe  and  basepanel  to the gui package.   to preserve visibility constraints  this requires the relocation of many more classes that have package-local dependencies on the above two classes.   variables / methods in  jabrefframe  with reduced visibility that are accessed from  jabref  were made  public   since the latter class clearly does not belong to the gui package.
108;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;extract model package with core data classes;this pull request extracts the most central data classes from the root package and puts them into a separate model package. it was possible to remove all gui dependencies from these classes.  additionally  all classes in the model package are refactored and adjusted to java 8 syntax.
127;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;minor improvement in googleurlcleaner #126;fixes detection of domains such as google.co.uk / co.jp / etc. and moves test class to test folder.
128;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;googleurlcleaner: add support for pasting using bound shortcut;
137;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;unify and simplify gui actions;- using lambdas for the simpler actions - some code cleanup - extract string commands as string constants to actions.java and use the constants in jabrefframe  basepanel and rightclickmenu - use the constants already defined in keybinds to get keystrokes for the actions (in jabrefframe  basepanel  entryeditor and rightclickmenu) - 8e3ad9d: remove quickfix for [sf.net bug #1277]( and implement feature properly: instead of deactivating  show/hide toolbar  when no database is open  the action has been move to jabrefframe and works now even if no database is open.  see also #136
140;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;added a search bar at the top;the search bar is now at the top above the bibtex database. moreover  the autocompletion now works via a dropdown control.  ![capture](  the code maybe needs further clean-up (for example  i m not sure which of the recent changes to searchmanager2.java should be incorporated into the new searchbar.java). i m not aware of any bugs  but i m sure there are some.  (by the way  what is now the correct way to include external libraries? the code below needs [jsplitbutton](  which i included in the old way.)
143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;fix sf bug #1285;restores the cursor resp.  caret  position when a field is store during editing. this fixes [sf.net bug #1285](  to be done:  - backport to dev_2.11 - ask for confirmation on sf.net and close the issue there.
147;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;remove option to set custom icon theme;the setting of a custom icon theme is not available in the gui. because of this  i removed it.   what is changed: - no support for custom icon themes anymore - a smaller guiglobals class - more explicit referencing of icons - less setup logic that is required to be called explicitly - when no icon is available  the default one (red.png at the moment) will be used. this allows to detect icon errors -> see below - less code  uncovered issues through this change: - the action openfolder is used in the icon bar  but as it had no icon  it was never displayed to the user. this is now marked explicitly in red  allowing us developers to fix this.  i am open for feedback.
150;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;removes the legacy-action integrity check;removes the **legacy**-action  tools--> legacy tools --> integrity check  with all its files.   what it helps: - removes 1000 lines of code - removes a feature that is marked as a legacy tool  what does the feature do at the moment: - check year: raise error if it contains a 4digit number - check title: warn only about wrong braces - check author/editor: check that the structure is correct using  and  and the     separator.  anyone who wants this feature to stay?  is there any other validation facility in place where we could add the checks instead?
162;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0; improvements to search;this is a new version of my old pull request  now updated to the 2.8 version and incorporating all the suggestions from the last time. (except the clean commit history )  the changes include: - search bar is now at the top - autocompletion suggestions are shown in a popup - search options are available via a drop-down list  this implements feature request #853 -  clear search  button also clears search field  this implements feature request #601 - in incremental search mode: next result is selected by pressing enter (instead of control + f as previously) - incremental search now uses the same search engine as the other search modes - added a new search mode (live filter) which filters the table as soon as the search text is changed  i have a few questions: - ~~there are quite a few changes from formatting the code in eclipse. is it ok if i include them?~~ - i have a problem with listening to changes in the textfield and programatically setting the text with settext(). the latter command triggers first an event for the deletion of the text and then another one for inserting the new one. is there a way to be informed just once about such a change? (this occours in the following case: if the user accepts an autocompletion  then the text is changed via settext(). thus  in incremental and live filter mode  two searches are performed.) - ~~the searchworker implemented the abstractworker interface. as far as i understood  this enables one to do work asynchronously and then change the gui later. however  the worker is simply run via        worker.getworker().run()        worker.getcallback().update()    in my understanding  this defeats completely the purpose of using the abstractworker. what is the right way to run it?~~ - ~~a general observation about the  searchrule  class. every method of it takes the query as an argument. i would propose to save the query internally in   searchrule  and thus simplify the interface a little bit.~~ - ~~the setting  autocomplete names  is not yet implemented. in my opinion this can be completely removed.~~ - ~~the setting  select matches  is not yet implemented since i do not understand the purpose of this setting. should it control whatever the first match is selected after the search is performed? moreover  i think it was not implemented in the old search pane.~~  things which should be done at some point (i will open a ticket after this pull request was accepted): - all the other inline autocompletions (in fields for example) should also use the new dropdown style autocompleter - search result table is not styled the same as main table  related [sf bug 847](http://sourceforge.net/p/jabref/bugs/847/)
164;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;small changes to default preferences;- fields in table are not colored (required/optional) - owner column is not shown - slightly increasing row padding in table
165;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;timestamp is not displayed by defaut;as discussed in #164 the timestamp column shouldn t be displayed by default.
166;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;cleanup and format some files;run cleanup and format in eclipse on some files to make comparison in #162 easier.
175;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;increase saving speed;intended to 122  this pr turned into a major api change. it replaces  string  in the return types of  bibtexentrytype  with  list<string> . this allows to return immutable lists instead of mutable arrays and improves the stability of the program. additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  with respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning.
176;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;improved casechangers;added more words that should be kept lower case and added functionality to honor words within {}. can readily be merged with 2.11 as well (for someone more handy with github).
178;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;auto detect user language #177;jabref now uses the system locale as default with this pr.  i simplified some methods in the process and implemented a fallback to  en  when there is no bundle for the default locale.  any suggestions?
192;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;improved casechangers;new attempt with the same code and same limitations  but using branches. so hopefully possible to merge. i also used the jabref formatter and clean up. hopefully  i got it correct.
200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;added conversion menu on right click in text field (#191);accessing these conversions without going through clean up can be quite useful.
205;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;replaced defaultformbuilder with formbuilder;replaced the deprecated defaultformbuilder with formbuilder in about ten instances.  as i was working with the external programs code  the strings there were unified to ease the translation work a bit.
206;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;added ability to merge from a downloaded doi based bibtex entry;- refactored mergeentriesdialog by splitting into a mergeentries providing a jpanel for merging and the dialog and moved these into gui.mergeentries - added mergeentrydoidialog to merge with a bibtex entry downloaded based on doi  e.g.  to add missing information or correct - added that functionality to the right-click menu for the entry table - made getentryfromdoi in doitobibtexfecther public to be able to use that to get the bibtex entry - added a new icon for doi (which probably should be used in other places)
215;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;adding an advanced data structure for title/word in the casechangers …;…implementation.  @koppor this is what i ment. what do you think?
217;0;0;0;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;remove the option move-to-systray;why? - only applications that do background work are put in the systray  e.g.  dropbox or anti-virus-software.  - other software stays in the normal task bar - jabref currently does no background stuff  hence  should stay in the task bar only  gains? - less code - lesser quirky workarounds (see commit)
225;1;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;replaced defaultformbuilder with formbuilder;another batch of replacing the deprecated defaultformbuilder with formbuilder: autosetexternalfileforentries  basepanel  colorsetuppanel  dbconnectdialog  fromauxdialog  managekeywordsaction  masssetfieldaction  and synchronizefilefield.  clean up in util.java.
227;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;merge entries in duplicate detection;added a  merged entry  tab and preview/textbox in the duplicateresolverdialog and added handling of this at import and duplicate checking.  also fixed a bug leading to that if import was done without the importinspectiondialog  nullpointerexception happened as the metadata was not properly initialized.
228;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;alternative merge duplicate branch;this branch should be identical to pr #227 but with only two commits. as said earlier  there are some things to be sorted out such as relevant naming  but unless there are some major objections  it can make sense to merge it now and i ll get around to fixing those things later. i m a bit worried about all the merging/rebasing/getting hundreds of unrelated commits
232;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;architecture;adds a the architecturetests class that ensures that specific packages stay independent from other packages.  why? - ensure that the architecture of jabref stays healthy.
235;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;clean ups;purpose was to replace more defaultformbuilders  but ended up cleaning up minor issues and removed quite a bit of disabled code from ieeexplorefetcher (bibtex fetching and multi-page search results)  which has not been working for years  and added support for a few more publication types that ieee xplore has added.
236;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;simplify key bindings;currently  there is a key binding for  push to application  but there can be key bindings for each specific application  e.g.  lyx  vim  etc.  to simplify  there should only be a key binding for the currently selected application  hence  only the  push to application  key binding.
237;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;less console output in tests;reduces console output during tests dramatically. this reduces the console output in travis  helping to find the cause for a failing test faster with less scrolling.
239;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;remove edit preamble and edit strings from toolbar. it is still avail…;…able under the bibtex menu.
241;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;set default encoding to utf-8;the utf-8 support of latex  [biber]( and [latex editors]( is really mature. to have interoperable  .bib  files  jabref should set the default encoding (for new users) to  utf-8
248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;removes button to merge entries and keep the old ones.;- renames merge button into  merge entries . - removes button to merge entries and keep the old ones. the old ones are now always deleted.
253;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;cleanup preferences;this pr remove preferences that are no longer used in jabref.  i checked the usage each public field of  jabrefpreferences  and  if there was no such usage  searched for string occurrences of the preference value in the complete project. if such usage was found  i replaced it with a usage of the respective field. otherwise  i deleted the preference.  all in all  only a surprisingly small amount of preferences is not used.
259;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;fixed some warnings  missing copyright statements  and some minor issues;pushtoemacs is causing formatting problems (works with manual formatting)  but other than that  i believe that everything should be ok.
261;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0; enable merge entries at context menu;when selecting two entries  the context menu should offer merging of them  too. -  when only one entry is selected  the  merge entries  entry should be disabled.
264;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;remove unused menus for import/export;found some dead code in jabrefframe which has been used to generate submenus for custom imports/exports.   would be glad if someone checks whether this is okay.
266;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;removed a number of warnings  added copyright etc;cleanups based on warnings  primarily: - removed right-hand side arguments of diamond operators - static functions - commented empty blocks - added try-with - avoided hiding variables  included copyright statements.
267;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;removes option to hide the bibtex code tab in the entry editor.;why? - i do not see the point of hiding the bibtex code tab in the entry editor. hence  i removed the option.
272;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;onsave actions discussion #131;will replace all ordinal numbers by superscripts when saving a database  e.g.  1st conf. -> 1\textsuperscript{st} conf.  will not alter the casing of the text at the moment  should we do this? e.g.  1st conf. -> 1st conf.
274;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;save size of mergeentrydialog and mergeentrydoidialog;as per @koppor s request (sort of)  the  mergeentry*  dialogs now save and restore their size and position (same for both).
276;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;refactor bibtex model (a bit);- renames getallfields() to getfieldnames()  - add getfields() method  often the workflow in our code is:      java for(string name: entry.getfieldnames()) {   entry.getfield(name)    // do something }      we can directly use  entry.getfields()  for this now. are there any concurrency problems behind the old rationale or was it just dumb?
277;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;refactor casechangers;
280;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;removes option to disable renaming in filechooser dialogs.;why? - i think this is annoying as one would expect this to work.   i can also live with the option that this is always active  but giving the user the option to choose is not good in my opinion.
283;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;replaced print-out messages with logger;added logger instead of print-outs in a bunch of places.
286;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;fixed a number of warnings;got rid of a number of warnings: - <> - static methods - commented empty blocks - general clean up
287;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;doaj search;search for directory of open access journals. quite functional  but the remaining things should (probably) be done -  ~~help page~~ -  decide on where the bibjsonconverter class should be positioned (input?) -  more fields? ~~issn?~~ -  ~~better/more error checking~~ -  ~~handle search results with more than 100 entries properly~~ -  ~~fill empty methods in doajfetcher~~ -  ~~update status bar~~ -  add test for bibjsonconverter -  ~~enable stopping search~~  implements what is discussed in #208
292;0;0;1;1;1;0;1;1;0;0;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;warning removal;more warnings removed.
298;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;warningremoval5;removed a bunch of warnings. - redundant specifications in <> - resource leakage - commented empty blocks - removed calls to util.pr
299;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;log message translation removals;trying to remove translated log messages  unless the translation is needed elsewhere. in that case i add a comment stating where the string is found.  i ll do this every now and then  so while not complete yet  it will be split in separate prs (unless there are any objections).
301;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;fixed a number of false positive translation strings;cleaned up the code (basically move localization.lang to the  correct  places) for a number of files to reduce the amount of false positives when it comes to possibly obsolete keys. this also resulted in some other related clean-ups  such as removing translation requests for database names (try to translate  inspire ).
302;1;0;0;0;1;0;1;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;replaced some of the getkey arguments with constants from keybinds;replaced some of the getkey arguments with constants from keybinds  change: the preamble editor dialog doesn t have its own key entry for closing it.
303;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;replaces the final(?) keybinds.string and some actions.string;some more cleanups.  in generalfetcher  the key binding for  fetch medline  is defined  which seems a bit non-intuitive. not sure how to proceed here.
